city,case_id,category,district,addr,x,y,start_date,end_date,blocks_traffic,unit,source
taipei,114001822-2-136,construction,內湖,南京東路6段463號前，經成功路2段、安康路25巷口、永保街與安康路口至永保街142號旁,310088.708,2772878.466,2026-06-08,2027-01-03,否,台電輸變電,https://tpnco.blob.core.windows.net/blobfs/Appwork.json
taipei,114002532-1-3,construction,士林,至善路2段113巷交叉口(故宮路)至2段221號(故宮博物院前),305128.925,2776772.064,2026-01-01,2034-09-18,是,捷運一工處(東區),https://tpnco.blob.core.windows.net/blobfs/Appwork.json
taipei,114003091-1,construction,中山,敬業二路(植福路至北安路口間)，北安路(敬業二路至敬業三路口間，東西向車道)，敬業三路(植福路口至121號前),306106.584,2775258.207,2026-01-01,2034-09-18,否,捷運一工處(東區),https://tpnco.blob.core.windows.net/blobfs/Appwork.json
taipei,114003599-1,construction,文山,木新路1段木新路一段開元街口至木柵路三段246號,307628.075,2764829.806,2026-01-01,2035-01-13,否,捷運二工處(南區),https://tpnco.blob.core.windows.net/blobfs/Appwork.json
taipei,114003796-1,construction,文山,木柵路2段木柵路二段67巷至木柵路二段125號,306600.491,2764647.098,2025-11-01,2035-01-13,是,捷運二工處(南區),https://tpnco.blob.core.windows.net/blobfs/Appwork.json
taipei,114003950-1-3,construction,大同,重慶北路1段34-1號旁至40號旁及1段26巷9弄8號旁至1號旁,301832.952,2771543.443,2026-06-15,2026-06-17,否,自來水北區,https://tpnco.blob.core.windows.net/blobfs/Appwork.json
taipei,114004032-1,construction,文山,木柵路1段木柵路一段(試院路雙號-辛亥路6段),305683.345,2764527.319,2025-11-15,2035-01-13,否,捷運二工處(南區),https://tpnco.blob.core.windows.net/blobfs/Appwork.json
taipei,114004083-1-9,construction,士林,中正路(中正路229號至雨農路)、志成街(中正路至志成街22巷)、雨農路2號對面(志成公園旁)及福林路(四號廣場前),303658.004,2776588.244,2025-11-07,2034-08-31,否,捷運一工處(東區),https://tpnco.blob.core.windows.net/blobfs/Appwork.json
taipei,114004157-3-2,construction,士林,中正路中正路281號至493號旁及中正路435巷5號,302431.862,2776228.862,2025-11-14,2034-08-31,否,捷運一工處(東區),https://tpnco.blob.core.windows.net/blobfs/Appwork.json
taipei,114004157-6-1,construction,士林,中正路220至281號、文林路424至464號,303066.717,2776445.076,2025-12-11,2034-08-31,否,捷運一工處(東區),https://tpnco.blob.core.windows.net/blobfs/Appwork.json
taipei,114004238-7,construction,文山,新光路2段台北市立動物園前,308630.698,2765794.505,2025-11-17,2026-11-16,否,捷運二工處(南區),https://tpnco.blob.core.windows.net/blobfs/Appwork.json
taipei,114004262-11,milling/paving,內湖,民權東路6段296巷9號,311056.586,2773942.669,2026-05-12,2026-05-26,是,台電北區,https://tpnco.blob.core.windows.net/blobfs/Appwork.json
taipei,115000130-3,construction,士林,前港街68巷號至前港街口、前港街62號至54號、前港街36號旁、前港街與後港街交叉口(共4處),302574.006,2775266.365,2026-06-15,2026-06-18,否,台電北區,https://tpnco.blob.core.windows.net/blobfs/Appwork.json
taipei,115000321-3,milling/paving,士林,華岡路43號、45號附近地區,304667.775,2781163.01,2026-04-15,2026-05-01,是,衛工處,https://tpnco.blob.core.windows.net/blobfs/Appwork.json
taipei,115000632-9,construction,大同,延平北路3段40到82號及33到61-5號前,301567.202,2773056.351,2026-06-15,2026-06-30,否,大台北瓦斯,https://tpnco.blob.core.windows.net/blobfs/Appwork.json
taipei,115000823-4,milling/paving,內湖,內湖路3段143巷197號,309330.562,2775655.492,2026-05-26,2026-05-29,否,台電北區,https://tpnco.blob.core.windows.net/blobfs/Appwork.json
taipei,115000825-1-11,construction,士林,至善路3段269號斜上方至至善路3段150巷口(碧溪橋),308656.583,2779185.175,2026-05-22,2026-06-30,是,自來水工總,https://tpnco.blob.core.windows.net/blobfs/Appwork.json
taipei,115000908-6,construction,南港,興中路56巷9號往興中路進興中路68巷至興華路口,311248.336,2772177.495,2026-06-03,2026-06-26,否,台電北區,https://tpnco.blob.core.windows.net/blobfs/Appwork.json
taipei,115000963-8,construction,萬華,雙園街38到79號前,299866.123,2769187.279,2026-06-08,2026-06-30,否,大台北瓦斯,https://tpnco.blob.core.windows.net/blobfs/Appwork.json
taipei,115001008-1-2,construction,中山,遼寧街105巷35號旁,304789.305,2771552.967,2026-06-16,2026-06-17,否,中國建築經理股份有限公司,https://tpnco.blob.core.windows.net/blobfs/Appwork.json
taipei,115001052-3-2,construction,中正,南陽街與南陽街23巷口沿23巷往東直行約16m,302076.221,2770727.191,2026-06-15,2026-06-18,否,大台北瓦斯,https://tpnco.blob.core.windows.net/blobfs/Appwork.json
taipei,115001059-1-21,construction,中山,北安路458巷47弄、北安路458巷41弄(北安路458巷至北安路518巷)(永安里),305014.101,2774554.611,2026-06-14,2026-06-30,是,自來水東區,https://tpnco.blob.core.windows.net/blobfs/Appwork.json
taipei,115001120-4,milling/paving,信義,崇德街146巷81號至95號(115-S-004),306403.726,2768346.923,2026-06-15,2026-06-22,是,公園處,https://tpnco.blob.core.windows.net/blobfs/Appwork.json
taipei,115001332-1,construction,信義,吳興街488號前及583巷3弄45號前,307503.873,2768468.985,2026-06-01,2026-07-31,否,捷運二工處(南區),https://tpnco.blob.core.windows.net/blobfs/Appwork.json
taipei,115001338-8,construction,大安,仁愛路4段105巷全巷至敦化南路1段251號前,305468.031,2770161.041,2026-05-29,2026-06-22,否,大台北瓦斯,https://tpnco.blob.core.windows.net/blobfs/Appwork.json
taipei,115001369-4,milling/paving,南港,合順街8巷3弄與舊莊街1段3巷12弄交岔口,312399.976,2770576.383,2026-06-09,2026-06-12,是,台電北區,https://tpnco.blob.core.windows.net/blobfs/Appwork.json
taipei,115001408-1,construction,大安,仁愛路3段18之1號(115-S-017-圖3),303916.906,2770096.835,2026-06-15,2026-06-23,否,公園處,https://tpnco.blob.core.windows.net/blobfs/Appwork.json
taipei,WS1150142-1,emergency repair,大安,永康街61巷7之2號,303503.047,2769130.771,2026-06-16,2026-06-18,否,自來水南區,https://tpnco.blob.core.windows.net/blobfs/Appwork.json
taipei,WW1150025-1,emergency repair,萬華,峨眉街18號,301163.025,2770684.947,2026-06-16,2026-06-18,否,自來水西區,https://tpnco.blob.core.windows.net/blobfs/Appwork.json
taipei,11200189-19-23,road maintenance,萬華,南海路/羅斯福路至南海路/和平西路口西藏路/汀洲路口至萬大路/長泰街口,301890.805,2769412.224,2026-01-01,2026-06-30,否,捷運二工處(南區),https://tpnco.blob.core.windows.net/blobfs/Appwork.json
taipei,11300943-7-1,road maintenance,信義,信義路6段(26巷~76巷),308147.267,2769749.128,2026-05-31,2026-12-31,否,捷運二工處(南區),https://tpnco.blob.core.windows.net/blobfs/Appwork.json
taipei,11302033-1-1,road maintenance,中正,重慶南路3段道路、水源路及中正橋,302153.606,2768424.352,2025-12-01,2026-05-15,否,新工處,https://tpnco.blob.core.windows.net/blobfs/Appwork.json
taipei,11400992-6,road maintenance,萬華,富民路(151號至富民路155巷口)、富民路155巷(155巷口至水源路口),300477.944,2767850.717,2025-04-01,2026-06-30,否,新工處,https://tpnco.blob.core.windows.net/blobfs/Appwork.json
taipei,11500739-50,road maintenance,北投,北投區明德路(振華街至明德路337巷間)雙側人行道拓寬工程,302467.85,2778810.111,2026-04-13,2026-08-15,是,新工處,https://tpnco.blob.core.windows.net/blobfs/Appwork.json
taipei,11500990-28,road maintenance,北投,115年度北投區東華街1段及西安街1段(士林區交界至石牌路)路面及側溝蓋更新工程,302442.352,2777814.289,2026-05-04,2026-07-08,否,新工處,https://tpnco.blob.core.windows.net/blobfs/Appwork.json
taipei,11501025-4,road maintenance,中山,臺北市中山區敬業三路113號至155號（樂群二路口至樂群三路口）之中央分隔島及鄰接人行道削減範圍。,306120.223,2774766.899,2026-05-15,2027-01-15,否,捷運一工處(東區),https://tpnco.blob.core.windows.net/blobfs/Appwork.json
taipei,11501131-2,road maintenance,中山,Y30站-臺北市中山區樂群二路（敬業四路口往東至堤頂大道路口路段）之中央分隔島及其鄰接人行道路段。,306664.225,2774758.735,2026-05-18,2026-09-02,否,捷運一工處(東區),https://tpnco.blob.core.windows.net/blobfs/Appwork.json
taipei,11501174-1-1,road maintenance,大安,光明里信義路2段10巷7-1號前溝蓋更新,302904.147,2769602.645,2026-06-16,2026-07-16,否,新工處,https://tpnco.blob.core.windows.net/blobfs/Appwork.json
taipei,11501294-13,road maintenance,中山,115年度中山區樂群一路(明水路至堤頂大道)溝蓋及行斜坡道更新工程,306015.329,2774434.116,2026-06-01,2026-08-15,否,新工處,https://tpnco.blob.core.windows.net/blobfs/Appwork.json
taipei,11501396-16,road maintenance,中山,龍江路37巷,304632.594,2771288.84,2026-05-29,2026-08-16,否,水利處,https://tpnco.blob.core.windows.net/blobfs/Appwork.json
taipei,11501404-4,road maintenance,文山,辛亥路四段101巷52號，辛亥路四段101巷52號-1，景福街21巷5號-1(樹牌WS0810091009)，樟新路64號，共7處設施修復工程。,306583.161,2766679.049,2026-06-01,2026-06-22,否,新工處,https://tpnco.blob.core.windows.net/blobfs/Appwork.json
taipei,11501484-2,road maintenance,中山,民安里華陰街24巷6弄側溝蓋更新工程,302477.968,2771254.171,2026-06-09,2026-06-22,否,新工處,https://tpnco.blob.core.windows.net/blobfs/Appwork.json
taipei,11501488-1-3,road maintenance,大安,信義路三段147巷5弄1號，樂利路113號，復興南路二段336號，溪洲街43號，大安路一段31巷22號共5處道路凹陷釐清開挖工程。,304832.815,2768411.274,2026-06-16,2026-06-16,否,新工處,https://tpnco.blob.core.windows.net/blobfs/Appwork.json
taipei,11501493-2,road maintenance,松山,通報單150-松山區民有里民權東路3段106巷3弄(32-46號)雙側側溝更新,305448.419,2772660.409,2026-06-10,2026-06-30,否,新工處,https://tpnco.blob.core.windows.net/blobfs/Appwork.json
taipei,11501503-4,road maintenance,大同,大同區承德路2段西側(太原路161巷至五原路)人行道鋪面更新工程及(追加)大同區承德路2段西側(平陽街至太原路161巷)人行道鋪面更新工程,302267.36,2772048.48,2026-06-12,2026-08-15,否,新工處,https://tpnco.blob.core.windows.net/blobfs/Appwork.json
taipei,11501522-6,road maintenance,內湖,東湖路106巷7弄,311990.54,2773457.201,2026-06-09,2026-07-23,否,水利處,https://tpnco.blob.core.windows.net/blobfs/Appwork.json
taipei,11501543-1,road maintenance,大安,大安區辛亥路3段工地施工大門前及公車站旁,305338.466,2767889.219,2026-06-10,2026-06-30,否,新工處,https://tpnco.blob.core.windows.net/blobfs/Appwork.json
taipei,11501565-1,road maintenance,北投,中央北路3段40巷20弄,298957.96,2781261.456,2026-06-16,2026-07-03,否,新工處,https://tpnco.blob.core.windows.net/blobfs/Appwork.json
new_taipei,241339,計畫,新店區,新店區安和里村里安和路一段3號,302292.9009681026,2762890.680931856,2020-02-18,2025-03-31,,新亞建設開發股份有限公司,https://data.ntpc.gov.tw/api/datasets/96b6101b-c033-4834-8bd5-e312651db7a0/json?page=0&size=2000
new_taipei,287356,計畫,新莊區,新莊區營盤里村里三泰路58號,294155.2948577016,2769793.886995464,2022-06-16,2025-12-31,,榮工工程股份有限公司,https://data.ntpc.gov.tw/api/datasets/96b6101b-c033-4834-8bd5-e312651db7a0/json?page=0&size=2000
new_taipei,296348,計畫,土城區,土城區員福里村里中央路二段252號,294838.0771300226,2763949.252034432,2022-12-12,2027-01-13,,馨澤工程有限公司,https://data.ntpc.gov.tw/api/datasets/96b6101b-c033-4834-8bd5-e312651db7a0/json?page=0&size=2000
new_taipei,298811,計畫,板橋區,板橋區宏翠里村里長江路一段105巷,296275.1848616949,2769151.576305379,2023-02-06,2026-02-06,,馨澤工程有限公司,https://data.ntpc.gov.tw/api/datasets/96b6101b-c033-4834-8bd5-e312651db7a0/json?page=0&size=2000
new_taipei,301576,計畫,泰山區,泰山區義仁里村里民權街29號,293144.813246382,2771146.4154444803,2023-04-10,2026-02-13,,廣記營造股份有限公司,https://data.ntpc.gov.tw/api/datasets/96b6101b-c033-4834-8bd5-e312651db7a0/json?page=0&size=2000
new_taipei,304987,計畫,土城區,土城區瑞興里村里四川路27號,296154.7364529695,2764116.151526607,2023-06-19,2027-07-16,,鴻祥營造股份有限公司,https://data.ntpc.gov.tw/api/datasets/96b6101b-c033-4834-8bd5-e312651db7a0/json?page=0&size=2000
new_taipei,304998,計畫,板橋區,板橋區華德里村里廣興街75號,295768.1686951049,2765042.2321910756,2023-06-01,2026-06-30,,鴻祥營造股份有限公司,https://data.ntpc.gov.tw/api/datasets/96b6101b-c033-4834-8bd5-e312651db7a0/json?page=0&size=2000
new_taipei,308970,計畫,泰山區,泰山區新明里村里明志路二段342號,292973.4771060989,2770577.3705975604,2023-08-25,2026-02-13,,廣記營造股份有限公司,https://data.ntpc.gov.tw/api/datasets/96b6101b-c033-4834-8bd5-e312651db7a0/json?page=0&size=2000
new_taipei,309070,計畫,泰山區,泰山區新明里村里明志路二段342號,292917.3428568746,2770621.783336859,2023-09-08,2026-01-31,,廣記營造股份有限公司,https://data.ntpc.gov.tw/api/datasets/96b6101b-c033-4834-8bd5-e312651db7a0/json?page=0&size=2000
new_taipei,309483,計畫,樹林區,樹林區三多里村里中正路859號,291573.0702959385,2767364.0434890646,2023-08-26,2025-04-30,,福旺營造股份有限公司,https://data.ntpc.gov.tw/api/datasets/96b6101b-c033-4834-8bd5-e312651db7a0/json?page=0&size=2000
new_taipei,309521,計畫,泰山區,泰山區義仁里村里磚雅厝路24號,294278.3617311231,2770829.1217033896,2023-09-08,2025-06-30,,榮工工程股份有限公司,https://data.ntpc.gov.tw/api/datasets/96b6101b-c033-4834-8bd5-e312651db7a0/json?page=0&size=2000
new_taipei,311511,新建房屋,三重區,三重區中興里村里中興南街7號,297420.5682503873,2770876.821460797,2023-11-16,2024-05-28,,叡興實業有限公司,https://data.ntpc.gov.tw/api/datasets/96b6101b-c033-4834-8bd5-e312651db7a0/json?page=0&size=2000
new_taipei,312574,計畫,五股區,五股區成泰里村里新城一路,294525.6305048771,2775252.5329662054,2023-11-01,2025-12-31,,鉅登營造工程有限公司,https://data.ntpc.gov.tw/api/datasets/96b6101b-c033-4834-8bd5-e312651db7a0/json?page=0&size=2000
new_taipei,312985,新建房屋,蘆洲區,蘆洲區福安里村里復興路87巷8號,298042.6974678045,2775587.6456894,2024-02-26,2024-03-11,,叡興實業有限公司,https://data.ntpc.gov.tw/api/datasets/96b6101b-c033-4834-8bd5-e312651db7a0/json?page=0&size=2000
new_taipei,313034,計畫,五股區,五股區五股里村里工商路18巷2號,294144.7798646145,2775275.5628446518,2023-11-03,2026-06-22,,鉅登營造工程有限公司,https://data.ntpc.gov.tw/api/datasets/96b6101b-c033-4834-8bd5-e312651db7a0/json?page=0&size=2000
new_taipei,313845,計畫,五股區,五股區五股里村里民義路一段131號,294008.3074376952,2775258.0234017866,2023-12-01,2026-06-22,,鉅登營造工程有限公司,https://data.ntpc.gov.tw/api/datasets/96b6101b-c033-4834-8bd5-e312651db7a0/json?page=0&size=2000
new_taipei,314374,計畫,泰山區,泰山區泰友里村里新生路4號,293348.2387147506,2770757.634523254,2023-12-26,2026-06-30,,榮工工程股份有限公司,https://data.ntpc.gov.tw/api/datasets/96b6101b-c033-4834-8bd5-e312651db7a0/json?page=0&size=2000
new_taipei,315642,緊急,三重區,三重區溪美里村里仁愛街379號,299584.2746489404,2774773.4307268164,2024-01-16,2024-02-03,,逢源工程企業有限公司,https://data.ntpc.gov.tw/api/datasets/96b6101b-c033-4834-8bd5-e312651db7a0/json?page=0&size=2000
new_taipei,317489,新建房屋,三重區,三重區瑞德里村里仁愛街125巷28號,300211.5061302088,2774273.828179893,2024-03-07,2024-04-30,,國勤工程有限公司,https://data.ntpc.gov.tw/api/datasets/96b6101b-c033-4834-8bd5-e312651db7a0/json?page=0&size=2000
new_taipei,318413,新建房屋,蘆洲區,蘆洲區保佑里村里民族路457號,297136.7357084116,2775677.415850434,2024-03-22,2024-03-30,,勝聯實業有限公司,https://data.ntpc.gov.tw/api/datasets/96b6101b-c033-4834-8bd5-e312651db7a0/json?page=0&size=2000
new_taipei,318630,計畫,三芝區,三芝區後厝里村里後昔里,296433.0245077711,2793208.311775736,2024-03-25,2024-05-04,,順盛工程有限公司,https://data.ntpc.gov.tw/api/datasets/96b6101b-c033-4834-8bd5-e312651db7a0/json?page=0&size=2000
new_taipei,318762,計畫,板橋區,板橋區流芳里村里文化路一段50號,296046.4640410661,2766562.7799802744,2024-04-22,2026-06-30,,展慶營造股份有限公司,https://data.ntpc.gov.tw/api/datasets/96b6101b-c033-4834-8bd5-e312651db7a0/json?page=0&size=2000
new_taipei,319675,一般,鶯歌區,鶯歌區鳳祥里村里鶯桃路439號,283509.309396743,2762064.59430973,2024-05-02,2026-06-16,,杰陞工程有限公司,https://data.ntpc.gov.tw/api/datasets/96b6101b-c033-4834-8bd5-e312651db7a0/json?page=0&size=2000
new_taipei,319815,計畫,鶯歌區,鶯歌區鳳福里村里鳳福路,283449.7570266828,2763033.591841408,2024-05-06,2026-04-30,,川祥營造有限公司,https://data.ntpc.gov.tw/api/datasets/96b6101b-c033-4834-8bd5-e312651db7a0/json?page=0&size=2000
new_taipei,319895,民生,新店區,新店區中華里村里三民路75巷1弄12號,304166.803885708,2762658.981452301,2024-04-23,2024-05-01,,宜鋒實業有限公司,https://data.ntpc.gov.tw/api/datasets/96b6101b-c033-4834-8bd5-e312651db7a0/json?page=0&size=2000
new_taipei,320442,新建房屋,三重區,三重區二重里村里穀保街99號,297666.2756165718,2773415.3916599522,2024-05-04,2024-05-12,,佳河環境工程有限公司,https://data.ntpc.gov.tw/api/datasets/96b6101b-c033-4834-8bd5-e312651db7a0/json?page=0&size=2000
new_taipei,320651,計畫,三峽區,三峽區鳶山里村里民生街88號,287123.0536758933,2758816.3146249806,2024-07-03,2027-05-26,,翔益營造有限公司,https://data.ntpc.gov.tw/api/datasets/96b6101b-c033-4834-8bd5-e312651db7a0/json?page=0&size=2000
new_taipei,320705,計畫,三峽區,三峽區龍埔里村里民生街1巷,288189.0333509562,2758694.662550979,2024-05-21,2027-09-21,,宏錩工程有限公司,https://data.ntpc.gov.tw/api/datasets/96b6101b-c033-4834-8bd5-e312651db7a0/json?page=0&size=2000
new_taipei,321158,民生,淡水區,淡水區樹興里村里糞箕湖5-2號,298967.5315444208,2784720.6222045883,2024-06-10,2024-09-17,,順盛工程有限公司,https://data.ntpc.gov.tw/api/datasets/96b6101b-c033-4834-8bd5-e312651db7a0/json?page=0&size=2000
new_taipei,321249,計畫,樹林區,樹林區東陽里村里鎮前街467號,291792.5866212483,2763829.5323396334,2024-05-27,2026-07-31,,宏錩工程有限公司,https://data.ntpc.gov.tw/api/datasets/96b6101b-c033-4834-8bd5-e312651db7a0/json?page=0&size=2000
new_taipei,321346,新建房屋,三重區,三重區頂崁里村里疏洪西路240-1號,297841.3867006551,2772457.429272939,2024-06-03,2024-07-02,,達叡環境有限公司,https://data.ntpc.gov.tw/api/datasets/96b6101b-c033-4834-8bd5-e312651db7a0/json?page=0&size=2000
new_taipei,321371,計畫,板橋區,板橋區聚安里村里環河西路五段,295260.1422814555,2766102.1425977997,2024-05-29,2026-08-31,,勇泉股份有限公司,https://data.ntpc.gov.tw/api/datasets/96b6101b-c033-4834-8bd5-e312651db7a0/json?page=0&size=2000
new_taipei,321378,計畫,樹林區,樹林區東陽里村里東榮街118號,292108.6224146754,2763921.946337292,2024-06-03,2026-07-31,,宏錩工程有限公司,https://data.ntpc.gov.tw/api/datasets/96b6101b-c033-4834-8bd5-e312651db7a0/json?page=0&size=2000
new_taipei,321503,一般,新店區,新店區中央里村里中央三街23號,303382.1837783572,2762993.4231513706,2024-05-29,2024-06-21,,巨信工程有限公司,https://data.ntpc.gov.tw/api/datasets/96b6101b-c033-4834-8bd5-e312651db7a0/json?page=0&size=2000
new_taipei,321579,計畫,鶯歌區,鶯歌區鳳祥里村里鶯桃路,283805.7572181097,2761600.6882531345,2024-05-29,2025-07-22,,榮工工程股份有限公司,https://data.ntpc.gov.tw/api/datasets/96b6101b-c033-4834-8bd5-e312651db7a0/json?page=0&size=2000
new_taipei,321982,新建房屋,三重區,三重區三安里村里正義北路279號,299962.4375862188,2773643.727419549,2024-07-01,2024-09-05,,輝達環境科技有限公司,https://data.ntpc.gov.tw/api/datasets/96b6101b-c033-4834-8bd5-e312651db7a0/json?page=0&size=2000
new_taipei,321994,計畫,鶯歌區,鶯歌區永吉里村里鶯桃路173號,284066.3288309554,2761079.0242312895,2024-07-03,2027-04-01,,宏錩工程有限公司,https://data.ntpc.gov.tw/api/datasets/96b6101b-c033-4834-8bd5-e312651db7a0/json?page=0&size=2000
new_taipei,322625,民生,淡水區,淡水區大庄里村里中正路一段156巷12號,292489.0571930491,2785851.167822333,2024-08-05,2024-08-15,,桔原企業有限公司,https://data.ntpc.gov.tw/api/datasets/96b6101b-c033-4834-8bd5-e312651db7a0/json?page=0&size=2000
new_taipei,322909,一般,新店區,新店區公崙里村里安和路一段,302233.7787871636,2762046.5151245464,2024-07-11,2024-07-25,,五通工程有限公司,https://data.ntpc.gov.tw/api/datasets/96b6101b-c033-4834-8bd5-e312651db7a0/json?page=0&size=2000
new_taipei,323356,計畫,樹林區,樹林區和平里村里八德街73號,292421.8770710287,2763882.6014515506,2024-07-08,2026-07-31,,宏錩工程有限公司,https://data.ntpc.gov.tw/api/datasets/96b6101b-c033-4834-8bd5-e312651db7a0/json?page=0&size=2000
new_taipei,323359,計畫,樹林區,樹林區中華里村里中華路341-7號,292225.1182110158,2763538.841689125,2024-07-10,2026-07-31,,宏錩工程有限公司,https://data.ntpc.gov.tw/api/datasets/96b6101b-c033-4834-8bd5-e312651db7a0/json?page=0&size=2000
new_taipei,323844,新建房屋,淡水區,淡水區油車里村里中正路一段156巷8號,292482.9783660809,2785846.0716351024,2024-08-05,2024-08-15,,桔原企業有限公司,https://data.ntpc.gov.tw/api/datasets/96b6101b-c033-4834-8bd5-e312651db7a0/json?page=0&size=2000
new_taipei,324217,一般,淡水區,淡水區樹興里村里糞箕湖10號,298686.3074562564,2784758.360935424,2024-08-12,2024-12-31,,順盛工程有限公司,https://data.ntpc.gov.tw/api/datasets/96b6101b-c033-4834-8bd5-e312651db7a0/json?page=0&size=2000
new_taipei,324374,新建房屋,三重區,三重區光明里村里重安街13巷2號,299481.2484732345,2772220.06922639,2024-09-02,2024-12-27,,佳河環境工程有限公司,https://data.ntpc.gov.tw/api/datasets/96b6101b-c033-4834-8bd5-e312651db7a0/json?page=0&size=2000
new_taipei,324710,計畫,五股區,五股區五股里村里成泰路二段51號,294280.2167783781,2775296.097021025,2024-08-10,2026-06-23,,鉅登營造工程有限公司,https://data.ntpc.gov.tw/api/datasets/96b6101b-c033-4834-8bd5-e312651db7a0/json?page=0&size=2000
new_taipei,324794,新建房屋,三重區,三重區五谷里村里五谷王北街48巷,297887.2477701465,2771491.407169238,2024-08-30,2024-09-07,,叡興實業有限公司,https://data.ntpc.gov.tw/api/datasets/96b6101b-c033-4834-8bd5-e312651db7a0/json?page=0&size=2000
new_taipei,325020,計畫,林口區,林口區下福里村里林口溪右側水防道一段,280719.4204332141,2778768.131235424,2024-11-20,2026-06-30,,豐順營造股份有限公司,https://data.ntpc.gov.tw/api/datasets/96b6101b-c033-4834-8bd5-e312651db7a0/json?page=0&size=2000
new_taipei,326504,計畫,泰山區,泰山區義學里村里明志路二段60號,293265.5850019417,2771652.7583349315,2024-09-12,2026-02-13,,廣記營造股份有限公司,https://data.ntpc.gov.tw/api/datasets/96b6101b-c033-4834-8bd5-e312651db7a0/json?page=0&size=2000
new_taipei,326650,新建房屋,三重區,三重區重明里村里重陽路一段26巷37號,298955.4961141999,2772207.1092863297,2024-12-02,2024-12-06,,廣原工程股份有限公司,https://data.ntpc.gov.tw/api/datasets/96b6101b-c033-4834-8bd5-e312651db7a0/json?page=0&size=2000
new_taipei,326757,計畫,泰山區,泰山區明志里村里明志路二段248號,292895.54956319,2770868.881470365,2024-09-12,2026-03-14,,廣記營造股份有限公司,https://data.ntpc.gov.tw/api/datasets/96b6101b-c033-4834-8bd5-e312651db7a0/json?page=0&size=2000
new_taipei,327607,計畫,泰山區,泰山區義仁里村里公園路87號,293177.0002286896,2771889.896860636,2024-10-30,2025-12-31,,廣記營造股份有限公司,https://data.ntpc.gov.tw/api/datasets/96b6101b-c033-4834-8bd5-e312651db7a0/json?page=0&size=2000
new_taipei,327833,計畫,淡水區,淡水區樹興里村里糞箕湖1-8號,298678.6376981398,2784784.959908908,2024-10-28,2024-12-31,,順盛工程有限公司,https://data.ntpc.gov.tw/api/datasets/96b6101b-c033-4834-8bd5-e312651db7a0/json?page=0&size=2000
